,,,,,,,,,,,,,Trang 1 của 0,,
,CÔNG TY CP CÔNG NGHIỆP GỖ TRƯỜNG SƠN ,,,,,,,,,,,,,,
,"XUÂN HÒA , NHƯ XUÂN , THANH HÓA",,,,,,,,,,,,,,
,,"THỐNG  KÊ TỶ LỆ THU HỒI SAU SẤY , PHƠI",,,,,,,,,,,,,
,,Từ ngày: 01/01/2019   Đến ngày: 31/01/2019,,,,,,,,,,,,,
,Bộ phận: N.Máy Gỗ  Trường Sơn,,,,,,,,,,,,,,
,STT,,Nội dung,Nhập Kho,,,,,Xuất Kho,,,,,,T.Phẩm/sử dụng 
,,,,Tổng nhập,Nhập SX,,Nhập mua,C. kho đến,Tổng xuất,Xuất bán,,,,C.Kho đi,
,I,,Nguyên Liệu,,,,,,,,,,,,
,1,,Ván Bóc tươi :  loại A,"111,18","111,18",,0,0,"154,43",0,,,,0,"154,43"
,2,,Ván Bóc tươi : loại  B,"113,41","113,41",,0,0,"144,53",0,,,,0,"144,53"
,3,,Ván Bóc tươi :  loại C,"63,86","63,86",,0,0,"135,79",0,,,,0,"135,79"
,4,,Ván tươi  đang sấy dở,"11,8","11,8",,0,0,0,0,,,,0,0
,II,,"Kết quả sấy  , phơi",,,,,,,,,,,,
,1,,"Ván sấy,khô : loại A+",0,0,,0,0,0,0,,,,0,0
,2,,"Ván sấy,khô Loại A","303,94","155,32",,"148,62",0,"169,44",0,,,,0,"141,2"
,3,,"Ván sấy,khô : loại B","216,27","182,58",,"33,69",0,"197,01",0,,,,0,"168,15"
,4,,"Ván sấy,khô Loại C","112,8","106,55",,"6,25",0,"103,3",0,,,,0,"109,8"
,5,,"Ván may , p loại, dở dang ","38,5","38,5",,0,0,0,0,,,,0,77
,III,,Tỷ lệ nguyên liệu /thành phẩm ,,,,,,,,,,,,
,1,,Tỷ lệ thu hồi sấy  (Ván tươi/ ván sấy),,,,,,,,,,,,0.88
,2,,tỷ lệ thu hồi Ván A (ván A tươi/ván A sấy),,,,,,,,,,,,-10.94
,,,,,,,,,,,Ngày in: 27/02/2019 0524:01,,,,
,,,,,,,,,,,,Giám đốc,,,
Lập biểu,,,,,,Kiểm soát,,,,,,,,,
