STT,Name,,SL,Don gia,TT,TTVND,KG,không luong nho,khoi luong lon,Cuoc vc1,Gia von 1,Gia ban toi thieu 1,Gia toi da1,Cuoc vc2,Gia von 2,Gia toi thieu 2,Gia toi da 2
1,DBC 40-1*10FT,EA,10,38,380,1406000,"7,5-12","7,5",12,37.500,1.443.500,1587850,2165250,60000,1466000,1612600,2199000
2,DBC 50-1*10FT,EA,10,61,610,2257000,"10,75-16,75","10,75","16,75",53.750,2.310.750,2541825,3466125,83750,2340750,2574825,3511125
3,DBC 50-2*10FT,EA,10,122,1220,4514000,"13,75-21,35","13,75","21,35",68.750,4.582.750,5041025,6874125,106750,4620750,5082825,6931125
4,DBC 60-1*10FT,EA,10,86,860,3182000,"13,75-21,35","13,75","21,35",68.750,3.250.750,3575825,4876125,106750,3288750,3617625,4933125
5,DBC 60-2*10FT,EA,10,176,1760,6512000,"21,5-30,5","21,5","30,5",107.500,6.619.500,7281450,9929250,152500,6664500,7330950,9996750
6,DBC 60-3*10FT,EA,10,279,2790,10323000,"27,5-36,5","27,5","36,5",137.500,10.460.500,11506550,15690750,182500,10505500,11556050,15758250
7,DBC 80-1*10FT,EA,10,154,1540,5698000,"18,3-27,5","18,3","27,5",91.500,5.789.500,6368450,8684250,137500,5835500,6419050,8753250
8,DBC 80-2*10FT,EA,10,307,3070,11359000,"30,5-42,7","30,5","42,7",152.500,11.511.500,12662650,17267250,213500,11572500,12729750,17358750
9,DBC 100-1*10FT,EA,10,225,2250,8325000,"24,4-36,6","24,4","36,6",122.000,8.447.000,9291700,12670500,183000,8508000,9358800,12762000
10,DBC 120-1*10FT,EA,10,300,3000,11100000,"36,6-54,9","36,6","54,9",183.000,11.283.000,12411300,16924500,274500,11374500,12511950,17061750
,,,,,,64.676.000,0,205,300,1.022.750,65.698.750,72.268.625,98.548.125,1.500.750,66.176.750,72.794.425,99.265.125
