AD_Org_ID[Name],DocumentNo,Description,MovementDate,C_Project_ID[Value],C_Activity_ID[Value],C_Campaign_ID[Value],DateOrdered,hsv_kiemtra,hsv_Lotpngao_ID[Value],M_ProductionPlan>M_Production_ID[Name],M_ProductionPlan>Line,M_ProductionPlan>M_Product_ID[Value],M_ProductionPlan>ProductionQty,M_ProductionPlan>M_Locator_ID[Value],M_ProductionPlan>Description,M_ProductionPlan>M_AttributeSetInstance_ID[Description],M_ProductionPlan>QtyOther,M_ProductionPlan>HR_Job_ID[Value],M_ProductionPlan>hsv_pham
VP Công  Ty,1019292,,2025-05-02,tes,SXKD,TP-TP T san ,,N,,,10,nt.79.dh,1810,thành phẩm t.sản,,6kg_1kg_K.HCK_0%_rider,0,,N
VP Công  Ty,1019293,,2025-05-02,tes,SXKD,thay thung,,N,,,10,ngaothit.dh,1115,thành phẩm t.sản,,MB0%,0,,N
,,,,,,,,,,,20,ngaothit.dh,1000,thành phẩm t.sản,,MB0%,0,,N
,,,,,,,,,,,30,nt.69.dh,910,thành phẩm t.sản,,6kg_6kg_K.HCK_0%_rider,0,,N
VP Công  Ty,1019294,,2025-05-02,tes,SXKD,NL - TP TSan,,N,,,10,nt.79.dh,2504,thành phẩm t.sản,,6kg_1kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,20,nn.79.dh,102,thành phẩm t.sản,,6kg_1kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,30,nt.81.dh,520,thành phẩm t.sản,,10kg_10kg_K.HCK_10%_rider,0,,N
,,,,,,,,,,,40,nt.68.dh,1010,thành phẩm t.sản,,10kg_10kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,50,nt.68.dh,1830,thành phẩm t.sản,,10kg_10kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,60,nt.69.dh,938,thành phẩm t.sản,,6kg_6kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,70,nn.912.dh,480,thành phẩm t.sản,,6kg_6kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,80,nt.81.dh,960,thành phẩm t.sản,,10kg_10kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,90,nt.812.dh,7720,thành phẩm t.sản,,10kg_10kg_K.HCK_0%_rider,0,,N
,,,,,,,,,,,100,nt.1116.dt,50,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,110,nt.1722.dt,320,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,120,nt.46.dt,820,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,130,nt.57.dt,1030,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,140,nt.69.dt,1800,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,150,nt.81.dt,2100,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,160,nt.1215.dt,50,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,170,nn.46.dt,80,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,180,nn.57.dt,540,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,190,nn.79.dt,100,thành phẩm t.sản,,ngao hấp luộc,0,,N
,,,,,,,,,,,200,nt.57.catmui,130,thành phẩm t.sản,,,0,,N
,,,,,,,,,,,210,nt.912.dh,3710,thành phẩm t.sản,,10kg_10kg_K.HCK_0%_rider,0,,N
VP Công  Ty,1019300,,2025-05-02,tes,SXKD,NTP.NL.QTVH,,N,,,10,nn.81.dh,170,thành phẩm t.sản,,10kg_1kg_HCK _0%_rider,0,,N
,,,,,,,,,,,20,nn.69.dh,2810,thành phẩm t.sản,,10kg_1kg_HCK _0%_rider,0,,N
,,,,,,,,,,,30,nn.912.dh,720,thành phẩm t.sản,,5kg_0.5kg_HCK _0%_rider,0,,N
,,,,,,,,,,,40,nt.81.dh,1840,thành phẩm t.sản,,5kg_0.5kg_HCK _0%_rider,0,,N
,,,,,,,,,,,50,nt.79.dh,2656,thành phẩm t.sản,,8kg_0.9kg _HCK _0%_rider,0,,N
,,,,,,,,,,,60,nt.46.dh,70,thành phẩm t.sản,,5kg_0.5kg_HCK _0%_rider,0,,N
,,,,,,,,,,,70,nc.loai.si,870,thành phẩm t.sản,,,0,,N
